,Country,Country_Code,1996_agb_tot,1996_agb_avg,1996_count,1996_area,2007_agb_tot,2007_agb_avg,2007_count,2007_area,2008_agb_tot,2008_agb_avg,2008_count,2008_area,2009_agb_tot,2009_agb_avg,2009_count,2009_area,2010_agb_tot,2010_agb_avg,2010_count,2010_area,2015_agb_tot,2015_agb_avg,2015_count,2015_area,2016_agb_tot,2016_agb_avg,2016_count,2016_area,2017_agb_tot,2017_agb_avg,2017_count,2017_area,2018_agb_tot,2018_agb_avg,2018_count,2018_area,2019_agb_tot,2019_agb_avg,2019_count,2019_area,2020_agb_tot,2020_agb_avg,2020_count,2020_area
80,Gambia,GMB,3283159.7771800887,54.0374473769645,657232,60765.15174296189,3329669.620707567,54.08203972127442,665993,61575.018455018435,3331242.6567514297,54.20951707525664,664741,61459.208650650515,3334586.509949875,54.155505413250765,666072,61582.23669422315,3330882.0586544895,54.19494891948735,664848,61469.061000637,6615807.911549084,54.30098080503664,1317944,121851.81808452081,3291237.1471782904,54.39904702016664,654470,60509.71072197506,3299335.030499941,54.345492903157286,656727,60718.34393978235,3309810.651363283,54.148489828297485,661209,61132.69182017112,3308398.2263539964,54.02672806197395,662416,61244.36468379894,3292847.868625989,54.04716800806948,659053,60933.46978486533
81,Guinea-Bissau,GNB,18802783.333688725,68.49140956852455,2950267,274497.12299079174,18960470.554040972,68.90092518230229,2957345,275152.7395680768,18837996.938404802,69.35024553874798,2919204,271603.87321770005,18777383.28680129,69.52749537048747,2902390,270039.854210319,18769136.03489515,69.51321580944206,2901711,269976.50344446383,37470504.808338664,69.26748176996135,5813494,540890.6067957418,18621224.300442293,69.31751040070831,2886967,268605.0191636293,18564556.057335004,69.42312034299616,2873808,267379.7616767898,18602681.440409556,69.30568533198328,2884590,268383.42940354196,18631187.507314622,69.10626345655996,2897354,269570.2432400736,18470957.391039193,69.12747345786138,2871563,267169.3511523221
82,Equatorial Guinea,GNQ,2914113.2832933795,113.72453823961234,269854,25623.822216597415,2917171.445944921,113.70567697008947,270182,25654.96917878862,2913300.176594448,113.63804822722868,269984,25636.171810437736,2930515.727286316,113.9305967309992,270882,25721.444518013624,2934507.512456785,114.03526216239115,271002,25732.84034640588,5857201.129832573,113.95624945706767,541288,51397.6950270306,2905043.137075088,113.65311286848738,269183,25560.119729946087,2894419.4961100155,113.47313108238798,268624,25507.040789812414,2886292.6300293785,113.28443357291884,268316,25477.79316329278,2896559.8087234646,113.41308831509608,268965,25539.419787655028,2903223.3031452186,113.57263461603425,269205,25562.21204796236
83,Grenada,GRD,11774.336307175183,61.36206489126311,2066,191.8473069466484,11808.803084964307,61.274882674044875,2075,192.6820333530754,11921.319645617183,61.88867934805448,2074,192.58951085633063,11944.998803089478,62.041653651979544,2073,192.49705653950653,11927.099414283239,62.12838380949245,2067,191.94044687552483,23762.71949661526,62.100584219497385,4120,382.5815427675792,11750.146156684672,62.01685167434169,2040,189.43333533647635,11628.17235515998,62.13437020512432,2015,187.11248287488579,11687.933830760277,61.627667599980676,2042,189.6202578772648,11777.915879001212,61.46990479084686,2063,191.5705713765508,11769.711356729496,61.27879722747858,2068,192.03381153639396
84,Guatemala,GTM,2111436.5529861916,84.50619388294511,271203,24991.612209002105,2103055.684759241,86.20604217181528,264799,24401.553864516005,2101399.4724883363,86.24290531045723,264477,24371.947520095433,2107386.3793625855,85.76007198056004,266723,24579.133200284537,2107151.7783496757,85.67436290478453,266960,24601.019644274675,4200980.079329334,85.52085233817336,533188,49134.027312733175,2097616.201432594,85.1023354509909,267538,24654.07395628588,2101401.0745291933,84.65088249462879,269450,24830.300064705196,2105131.3643570435,84.46564209480337,270522,24928.84980562336,2104439.042311047,84.51565791678571,270276,24905.803623702246,2102161.3642797964,84.41908966201711,270293,24907.29691549914
85,French Guiana,GUF,8033088.267297188,135.17367698497907,628111,59418.945397161595,7871881.913488041,135.3033338681314,614908,58171.50796040891,7817782.306007626,133.05928296364618,620980,58745.898768647545,7785759.305398773,130.7778620268482,629225,59525.51620335631,7741622.100355234,129.25040744286736,633052,59887.12843791175,15349691.502188064,123.81317111616558,1310306,123954.36159100162,7647633.32014444,121.32877307090678,666198,63022.03733607389,7643096.474813525,120.1571763510853,672294,63599.13504493634,7638451.687582162,120.30640674816848,671052,63481.81556517322,7583321.909703847,120.3031101432184,666229,63025.2123024972,7561906.229094162,119.00498901127867,671594,63532.61902988564
86,Guam,GUM,5176.748217117143,101.43404396720554,552,51.0349818907243,5176.748217117143,101.43404396720554,552,51.0349818907243,5176.748217117143,101.43404396720554,552,51.0349818907243,5176.748217117143,101.43404396720554,552,51.0349818907243,5176.748217117143,101.43404396720554,552,51.0349818907243,10373.796523115745,101.63281729601431,1104,102.07011504787044,5183.182474424257,101.37647881257814,553,51.127427929630144,5112.065203929369,101.45317108434274,545,50.38783391518967,5144.625220540516,100.80402170402417,552,51.03522548901293,5140.922111865617,99.82669152306055,557,51.49760312313776,5184.783051455459,100.13865375518799,560,51.775134936682065
87,Iran,IRN,315125.3036682911,22.077873924887054,167849,14277.811191598037,262704.56808217405,22.37458161352366,138074,11743.944007543281,233949.2752260077,22.362109112570376,123024,10464.422664196525,235827.0935293113,22.343600210005253,124119,10557.29081039159,237342.0890202841,22.29490098014367,125187,10648.101643773603,485289.70356227824,22.089827960612112,258332,21973.75261585975,229626.77037865383,21.930100470013986,123118,10473.520666704364,225984.40687454786,21.81575433015833,121793,10361.662849455726,230363.51850681557,21.945679303158865,123414,10499.959708253113,238023.65608240664,21.846718198169583,128106,10898.095702964918,222464.65657874604,21.69681456620546,120558,10256.246657688445
88,Sudan,SDN,22804.843587264288,12.798190739254032,19825,1776.0769089812834,15832.472457797276,12.916666937640604,13629,1221.4457235453378,13767.179042907715,13.381786763371002,11437,1025.5507246053965,13434.321550290408,13.732275481739263,10875,975.7081161395195,12588.898329771562,13.925419851588748,10046,902.1285725988798,22624.28948939972,14.251508515429126,17638,1584.8273653144734,10732.991087267506,14.467800148639595,8242,740.8375510076402,11523.462207432925,14.911411454739499,8587,771.9499243750505,11242.563826119527,14.644128778880814,8530,766.7376500183866,10448.361864267807,14.651323225722987,7923,712.2483212714826,10427.759766015763,14.874552366715188,7790,700.2634241880719
89,Vietnam,VNM,13982943.220894119,71.18066948710478,2114947,196404.3538787053,13622780.557337422,71.68348947469472,2046027,190049.69565470467,13387140.910372332,71.83293352573362,2006789,186373.51387228997,13321653.344079606,71.64538288744734,2002432,185938.59995481372,13233047.608882383,71.32568927395873,1998065,185520.80192371306,25862049.287046954,70.14881159188776,3970440,368630.9483743388,12736616.62650285,69.69936881878563,1967958,182703.789222998,12670932.914514551,69.38610260219636,1966469,182580.9721555178,12766946.70654937,69.43499995807733,1979130,183831.48187732976,12827974.393262183,69.64189995751843,1982611,184141.0262625078,12728199.689469678,69.10601430606218,1983526,184088.7649387527
